"商品ID","商品名称","类目","平台","最低供货价CNY","最高供货价CNY","最小重量g","最大重量g","发货时效","仓库","材质","工艺","SKU数","测款分","状态","置信度","推荐依据","风险","源链接","最后变化时间"
"96","1PC  罗尔尼  化妆包","化妆包","Temu","3","3","28","28","24小时发货","义乌仓自送","涤纶","热转印","1","96","可优先测款","100","计费重量约 60g，适合轻量测款;24 小时发货;最低供货价 ¥3，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","","https://taojinchuhai.cn/merchant/selection/goods/96","2026-09-03T21:41:39.235Z"
"95","0.8cm 厚  法兰绒  矩形地垫","入户门垫","Temu","4.56","10.26","140","300","24小时发货","义乌仓自送","涤纶","热转印","3","84","可优先测款","100","24 小时发货;最低供货价 ¥4.56，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 945g，需重点核算物流","https://taojinchuhai.cn/merchant/selection/goods/95","2026-09-05T21:12:58.665Z"
"94","节日  涤纶  圣诞椅套","圣诞椅套","Temu","12.6","35.8","218","626","24小时发货","义乌仓自送","涤纶","热转印","3","70","普通测款","100","24 小时发货;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 1382.4g，需重点核算物流;最低供货价 ¥12.6，测试预算相对较高;大件重量增加退货与履约风险","https://taojinchuhai.cn/merchant/selection/goods/94","2026-08-30T14:44:07.204Z"
"93","1PC  涤纶  圣诞帽","圣诞帽","Temu","5.15","5.4","35","39","24小时发货","义乌仓自送","涤纶","热转印","2","89","可优先测款","100","24 小时发货;最低供货价 ¥5.15，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 264g，需重点核算物流","https://taojinchuhai.cn/merchant/selection/goods/93","2026-08-30T14:44:07.204Z"
"92","1PC 涤纶  柜机空调罩","空调罩","Temu","14","14","296","296","24小时发货","义乌仓自送","涤纶","热转印","1","82","可优先测款","100","24 小时发货;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 418g，需重点核算物流;最低供货价 ¥14，测试预算相对较高","https://taojinchuhai.cn/merchant/selection/goods/92","2026-09-02T15:38:10.686Z"
"91","家用 涤纶 客厅椅套","沙发桌椅套","Temu","8.5","61","115","871","24小时发货","义乌仓自送","涤纶","热转印","6","73","普通测款","100","24 小时发货;最低供货价 ¥8.5，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 1755.6g，需重点核算物流;大件重量增加退货与履约风险","https://taojinchuhai.cn/merchant/selection/goods/91","2026-08-30T14:44:07.204Z"
"90","家用  涤纶  沙发坐垫套","沙发桌椅套","Temu","8.5","46","88","548","24小时发货","义乌仓自送","涤纶","热转印","4","73","普通测款","100","24 小时发货;最低供货价 ¥8.5，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 1267.2g，需重点核算物流;大件重量增加退货与履约风险","https://taojinchuhai.cn/merchant/selection/goods/90","2026-08-30T14:44:07.204Z"
"89","1PC 涤纶 裙摆沙发套","沙发桌椅套","Temu","30.5","60.5","620","1500","24小时发货","义乌仓自送","涤纶","热转印","4","66","普通测款","100","24 小时发货;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 3060g，需重点核算物流;最低供货价 ¥30.5，测试预算相对较高;大件重量增加退货与履约风险","https://taojinchuhai.cn/merchant/selection/goods/89","2026-08-30T14:44:07.204Z"
"88","家用 菱形布 隔热圆杯垫","杯垫","Temu","3.3","10.2","26","97","24小时发货","义乌仓自送","聚酯纤维","热转印","3","96","可优先测款","100","计费重量约 194.4g，适合轻量测款;24 小时发货;最低供货价 ¥3.3，小批量试错成本较低;材质/工艺适合图案或规格差异化（热转印）;价格、重量、尺寸、类目和 SKU 数据完整","","https://taojinchuhai.cn/merchant/selection/goods/88","2026-08-30T14:44:07.204Z"
"87","家用  亚麻  成人口水巾","成人口水巾","Temu","6.5","23","67","268","24小时发货","义乌仓自送","涤纶","热成印","3","77","可优先测款","100","24 小时发货;最低供货价 ¥6.5，小批量试错成本较低;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 288g，需重点核算物流;源站资料不足以证明明显的差异化能力","https://taojinchuhai.cn/merchant/selection/goods/87","2026-08-30T14:44:07.204Z"
"86","1PC 涤纶 电视机罩","电视机罩","Temu","8","12.5","147","259","24小时发货","义乌仓自送","涤纶","热成印","6","77","可优先测款","100","24 小时发货;最低供货价 ¥8，小批量试错成本较低;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 259g，需重点核算物流;源站资料不足以证明明显的差异化能力","https://taojinchuhai.cn/merchant/selection/goods/86","2026-08-30T14:44:07.204Z"
"85","1PC  涤纶  冰箱罩","冰箱罩","Temu","8","9","72","115","24小时发货","义乌仓自送","涤纶","热成印","2","77","可优先测款","100","24 小时发货;最低供货价 ¥8，小批量试错成本较低;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 300g，需重点核算物流;源站资料不足以证明明显的差异化能力","https://taojinchuhai.cn/merchant/selection/goods/85","2026-08-30T14:44:07.204Z"
"84","1PC 多色  水洗棒球帽","平檐棒球帽","Temu","7.5","7.5","103","103","24小时发货","义乌仓自送","涤纶","烫画","5","69","普通测款","100","24 小时发货;最低供货价 ¥7.5，小批量试错成本较低;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 816g，需重点核算物流;源站资料不足以证明明显的差异化能力","https://taojinchuhai.cn/merchant/selection/goods/84","2026-08-30T14:44:07.204Z"
"83","1PC  透气  海绵网帽","网眼卡车帽","Temu","7.5","7.5","76","76","24小时发货","义乌仓自送","涤纶","烫画","3","69","普通测款","100","24 小时发货;最低供货价 ¥7.5，小批量试错成本较低;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 960g，需重点核算物流;源站资料不足以证明明显的差异化能力","https://taojinchuhai.cn/merchant/selection/goods/83","2026-08-30T14:44:07.204Z"
"82","1PC 8骨 可折叠自动伞晴雨伞（内印）","晴雨伞","Temu","23","23","350","350","24小时发货","义乌仓自送","涤纶","UV打印","1","78","可优先测款","100","24 小时发货;材质/工艺适合图案或规格差异化（UV打印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 350g，需重点核算物流;最低供货价 ¥23，测试预算相对较高","https://taojinchuhai.cn/merchant/selection/goods/82","2026-08-30T14:44:07.204Z"
"81","1PC  8骨  可折叠自动伞晴雨伞","晴雨伞","Temu","23","23","350","350","24小时发货","义乌仓自送","涤纶","UV打印","1","78","可优先测款","100","24 小时发货;材质/工艺适合图案或规格差异化（UV打印）;价格、重量、尺寸、类目和 SKU 数据完整","最大计费重量约 350g，需重点核算物流;最低供货价 ¥23，测试预算相对较高","https://taojinchuhai.cn/merchant/selection/goods/81","2026-08-30T14:44:07.204Z"
"80","1PC  装饰 木框画","木框画","Temu","10.5","10.5","168","168","48小时发货","广东仓自送","木材","UV打印","4","85","可优先测款","100","计费重量约 215.3g，适合轻量测款;材质/工艺适合图案或规格差异化（UV打印）;价格、重量、尺寸、类目和 SKU 数据完整","48小时发货，时效竞争力一般;最低供货价 ¥10.5，测试预算相对较高","https://taojinchuhai.cn/merchant/selection/goods/80","2026-08-30T14:44:07.204Z"
"79","1PC 木制 火柴盒","火柴盒","Temu","10.5","10.5","112","112","48小时发货","广东仓自送","木材","UV打印","1","81","可优先测款","100","计费重量约 137g，适合轻量测款;材质/工艺适合图案或规格差异化（UV打印）;价格、重量、尺寸、类目和 SKU 数据完整","48小时发货，时效竞争力一般;最低供货价 ¥10.5，测试预算相对较高","https://taojinchuhai.cn/merchant/selection/goods/79","2026-08-30T14:44:07.204Z"
