淘金ID,商品全称,淘金出厂价(CNY),淘金出厂折合(USD),Temu同类参考售价(USD),Temu预估毛利润(USD),Temu预估纯毛利率(%),Temu市场热度与销力,入驻难度与竞争度,Temu针对性运营建议
82,"1PC 8骨 可折叠自动伞晴雨伞（内印）",12,1.67,"$8.99 - $24.99",9.4,58.8,"高 (月销5,000+)","中等","主打独家 POD 内部艺术印花，错开 Temu 低价纯色公模伞竞争。"
81,"1PC  8骨  可折叠自动伞晴雨伞",12,1.67,"$8.99 - $24.99",9.4,58.8,"高 (月销5,000+)","中等","主打独家 POD 内部艺术印花，错开 Temu 低价纯色公模伞竞争。"
80,"1PC  装饰 木框画",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
79,"1PC 木制 火柴盒",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
78,"1PC 金属  平顶打火机壳",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
77,"1PC  ABS 狗狗牵引绳（可伸缩长度3M）",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
76,"1PC  金属  长方形烟灰缸",12,1.67,"$6.50 - $13.99",3.69,38.8,"中等 (月销1,500+)","低","金属/马口铁复古印花，小众高利润蓝海，Temu 售价 $9.99 稳定盈利。"
75,"1PC  木制  迷你椭圆黑框画",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
74,"1PC 金属 马口铁盒",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
73,"1PC  塑料  定制烟盒",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
72,"2PCS  木制  DIY圆形编织木板",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
71,"2PCS  木制 DIY椭圆编织木板",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
70,"1PC 木制  椭圆形针盒",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
69,"1PC 木制 方形针盒",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
68,"1PC 帆布  手提袋(黑色提手）",12,1.67,"$4.50 - $14.99",4.12,41.2,"高 (月销6,000+)","中等","帆布加厚+黑色拉链/手提设计，定位文艺印花/个性定制，售价 $11.99。"
67,"1PC  桌面 木制阅读架",12,1.67,"$12.99 - $25.00",11.61,62.8,"中高 (月销2,000+)","低","实木环保质感+可折叠便携，Temu 售价 $16.99 空间极大，毛利>65%。"
66,"1PC  墙壁  装饰木架",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
65,"1PC 亚克力  透光烛台",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
64,"1PC  爱心把手  马克杯",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
63,"1PC  木制  手机支架",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
61,"1PC   TPU定制  半包软壳（多型号可选）",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
60,"1PC   节日  车库门帘",12,1.67,"$14.00 - $28.00",12.92,64.6,"中高 (万圣/圣诞飙升)","低","车库/节日装饰门挂在 9-12 月属于绝对暴利爆款，主打节日差异化。"
59,"4PCS  家用  亚麻餐垫",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
58,"1PC   家用  亚麻桌旗",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
57,"1PC  无纺布  收纳箱",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
56,"1PC  亚麻 拉链化妆包",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
55,"1PC  涤纶  祈祷垫",12,1.67,"$6.99 - $18.99",6.76,52,"中等","低","利用柔性定制图案差异化上架，避免直接低价拼杀。"
